Question Key,Question Text,Response,true_or_false
2052,Is New Year's Day a paid company holiday?,"Yes, New Year's Day is one of our company holidays. What a great way to start the new year!",1
2053,Is Martin Luther King's birthday a paid company holiday?,"No, Martin Luther King's Birthday is not one of our official company holidays.",1
2055,Is President's Day a paid company holiday?,"Yes, President's Day is one of our company holidays. Enjoy the time off!",1
2058,Is Memorial Day a paid company holiday?,"Yes, Memorial Day is one of our official company holidays.",1
2059,Is the Fourth of July a paid company holiday?,"Yes, the Fourth of July is one of our official company holidays.",1
2060,Is Labor Day a paid company holiday?,"Yes, Labor Day is one of our official company holidays.",1
2061,Is Columbus Day a paid company holiday?,"No, Columbus Day is not one of our official company holidays.",1
2063,Is Veterans Day a paid company holiday?,"No, Veterans Day is not one of our official company holidays.",1
2064,Is the day after Thanksgiving a paid company holiday?,"Yes, you get the day after Thanksgiving off as an official company holiday.",1
2065,Is Thanksgiving a paid company holiday?,"Yes, Thanksgiving is one of our official company holidays.",1
2066,Is Christmas Eve a paid company holiday?,"Yes, Christmas Eve is one of our official company holidays.",1
2067,Is Christmas Day a paid company holiday?,"Yes, Christmas Day is one of our official company holidays.",1
2075,What can I use my Sick Leave for?,"You can use sick time off for your personal illness, well-care or medical/dental appointments. Sick leave can also be used for illness or well-care of an immediate family member.",1
2077,What is Vacation time off?,You can use your vacation time off to schedule your planned time off of work.,1
2078,What is a Floating Holiday?,"You receive 2 floating holidays per year: One for your birthday and another for your corporate anniversary (to be taken on the event date or within 30 days of each event date). To use your floating holidays, you'll need to submit a request in Omega. Please note that floating holidays do not roll over and expire on December 31st.",1
2079,What is a traditional 401(k) retirement plan?,"A retirement plan is designed to replace your income upon retirement. Saving for your retirement years is very important! Your employer's retirement plan plays a big role in your future financial comfort. 
 
 When you have a traditional retirement plan, you don't pay taxes on the money you set aside at the time you contribute. Your retirement monies and any earnings from the investments are tax-deferred; however you'll pay taxes on contributions and earnings when the savings are withdrawn.",1
2082,What is voluntary life insurance?,"Voluntary life insurance is an optional benefit. You can decide if you'd like to purchase life insurance, and you can decide the amount of life insurance you'd like, within your plan's limits. Remember, your employer is paying for basic life insurance for you! Don't forget to consider the basic life insurance you already have when deciding on how much additional life insurance you'd like.",1
2084,Understanding traditional 401(k) retirement plans.,"Simply put, a retirement plan is a way for you to contribute pre-tax money to a special account. This money is intended to replace your income when you retire.
 
 When you put your money in this account, you don't have to pay taxes on it. Down the road, when the time comes to take out your money from your traditional retirement account, you will have to pay the standard income tax on it.",1
2090,What is a Health Savings Account?,"A Health Savings Account, or HSA, is similar to a personal savings account, but the money in a HSA is used to pay for qualified health expenses. Once you set up your account with your bank, you can automatically deduct money from your paycheck before payroll taxes. You can use the pre-tax money to meet your deductible or pay for other qualified medical needs. Unlike an FSA account, HSA are not a use-it-or lose type of account.",1
2091,Understanding Health Savings Accounts.,"The money in a Health Savings Account, or HSA, is used to pay for qualified health expenses. Keep in mind that you - not your employer or insurance company - own and control the money in your HSA. The money you deposit into the account is not taxed. Once you set up your account, you can elect how much money you'd like to have automatically deducted from your paycheck. You can use the pre-tax money to meet your deductible or pay for other qualified medical needs.",1
2095,Can I use an Health Savings Account with any of the medical plans being offered to me?,"The only medical plan type you can use with a Health Savings Account, or HSA, is a high deductible health plan.",1
2096,Is my medical plan compatible with a Health Savings Account?,"Yes! Since you have a high deductible health plan, you are able to use a Health Savings Account to pay for your qualified medical needs.",1
2099,Can I use my Health Savings Account to pay insurance premiums?,"Generally, no. If you are employed and receive your benefits through your current employer, then you cannot use your HSA money to pay for insurance premiums.",1
2100,What are considered qualified medical expenses for my Health Savings Account?,"Qualified medical expenses are, in general, doctor and hospital visits, laboratory tests, medical equipment, and prescription medications. ",1
2101,Understanding qualified medical expenses for my Health Savings Account.,"What are considered ""qualified"" medical expenses? Glad you asked! Generally, doctors' visits, such as physician office visits, chiropractor visits, or psychiatric treatment are qualified. Medical equipment such as wheelchairs or hearing aids, and prescription drugs (including over the counter drugs with a prescription) are also considered qualified.",1
2102,What expenses are considered qualified dental expenses for my Health Savings Account?,"Qualified dental expenses are, in general, non-cosmetic dental treatments such as crowns, dentures or fillings. ",1
2103,Understanding qualified dental expenses for my Health Savings Account.,"Qualified dental expenses are treatments like crowns, dentures, medically necessary braces, or fillings.",1
2104,What expenses are considered qualified vision expenses for my Health Savings Account?,"Qualified vision expenses are, in general, eye doctor visits and vision correction materials, such as laser eye surgery, contact lenses, contact lens solution, and eye glasses. ",1
2105,Understanding qualified vision expenses for my Health Savings Account.,"Qualified vision expenses are treatments like eye doctor visits or laser eye surgery. Items like eyeglasses, contact lenses and contact lens solution are also considered qualified.",1
2107,Understanding health care flexible spending accounts.,"A Healthcare Flexible Spending Account, or FSA, is a pre-tax benefit account. You can elect a certain amount of money to be deducted from your paycheck before taxes are taken out. You can then use this money to pay for eligible medical, dental, and vision care expenses. It's a smart, simple way to save money on health related expenses.",1
2108,What is a limited purpose health care flexible spending account?,"A limited purpose flexible spending account is designed to be used together with a high deductible health plan and Health Savings Account, or HSA. Eligible expenses are limited to qualifying dental and vision expenses.",1
2109,Understanding limited purpose health care flexible spending accounts.,"A limited purpose flexible spending account, or FSA, is very much like a typical health care FSA. However, a limited-purpose FSA is designed to be used together with a high deductible health plan and health savings account. If you have a health savings account, you can choose to elect a limited purpose flexible spending account. Eligible expenses are limited to qualifying dental and vision expenses.",1
2110,I have a Health Savings Account. Can I also have a health care flexible spending account?,"Yes, if you have a health savings account, you are able to elect a limited purpose health care flexible spending account. Eligible expenses are limited to qualifying dental and vision expenses.",1
2111,What is the advantage to having a health care flexible spending account?,"By using pretax money, you can save an average of 30% on a wide variety of eligible health care expenses! Setting aside pre-tax money also lowers your taxable income. 
 ",1
2112,What is the advantage to having a dependent care flexible spending account?,"By using pretax money, you can save an average of 30% on eligible dependent care expenses! Setting aside pre-tax money also lowers your taxable income.
 ",1
2113,What are considered qualified expenses for my health care flexible spending account?,"Your health care FSA can be used for medical expenses, such as co-pays, deductibles and co-insurance. It can also be used for dental expenses, such as braces, and vision expenses, such as contact lenses and eyeglasses or laser eye surgery. ",1
2114,Understanding qualified expenses for my health care flexible spending account.,"Your health care FSA can be used for medical expenses, such as co-pays, deductibles and co-insurance. It can also be used for dental expenses, such as cleanings, x-rays and orthodontia, and vision expenses, such as exams, contact lenses and eyeglasses. Other qualified expenses include doctor‰Ûªs prescriptions, chiropractic care, and acupuncture services.
 
Your health care FSA will not cover services such as cosmetic surgery, nutritional supplements like vitamins, or insurance premiums.
 ",1
2115,What are considered qualified expenses for my dependent care flexible spending account?,"Your Dependent Care FSA will cover expenses such as preschool, nursery expenses, day care and elder care.
 ",1
2117,What are considered qualified expenses for my limited purpose health care flexible spending account?,"You can use your limited use FSA to pay for qualified dental expenses such as cleanings, x rays, or medically necessary braces, and qualified vision expenses such as contact lenses, eyeglasses, and laser eye surgery.",1
2118,Understanding qualified expenses for my limited purpose health care flexible spending account.,"You can use your limited use FSA to pay for qualified dental expenses such as cleanings, fillings or braces, and qualified vision expenses such as contact lenses, eyeglasses, and eye exams.
 
 Your limited use FSA cannot be used to cover Medical expenses, such as deductibles, co-insurance, co-pays, or prescription drugs.",1
2119,What happens to the money in my health care flexible spending account if I do not use all of it by the end of the plan year?,"Your plan has a use-it-or-lose-it condition. In other words, you must use the funds in your account by the end of the year or they are forfeited.",1
2120,What happens to the money in my limited use health care flexible spending account if I do not use all of it by the end of the plan year?,"Your plan has a use-it-or-lose-it condition. In other words, you must use the funds in your account by the end of the year or they are forfeited.",1
2121,What happens to the money in my dependent care flexible spending account if I do not use all of it by the end of the plan year?,"Your plan has a use-it-or-lose-it condition. In other words, you must use the funds in your account by the end of the year or they are forfeited.",1
2122,How does using commuter benefits help me?,"Commuter benefits help you save money for traveling to and from work each day. By participating, you don't have to pay income taxes on the money set aside for your commute, saving you up to 40% on your commuting expenses!",1
2123,Understanding commuter benefits.,"How do you commute to work each day? Do you drive your car, or take the bus? Commuter benefits allow you to use pre-tax money to commute each month. This can save you up to 40% on your commuting expenses!",1
2124,What types of transportation qualify for the transit & vanpool commuter benefits?,"The transit commuter benefit allows you to put aside pre-tax money in an account and use the funds to pay for public transit‰ÛÓincluding train, subway, light rail, bus, and ferry‰ÛÓas part of your daily commute to work. Vanpooling is also included as long as minimum criteria is met.",1
2125,Understanding the types of transportation that qualify for transit & vanpool commuter benefits.,"If you take public transit to work each day, you're in luck! You can use pre-tax money to ride the train, subway, light rail, bus and ferry. Vanpooling is also included in transit commuter benefits as long as the vehicle is valid.",1
2127,How does the parking commuter benefit work?,"The parking commuter benefit allows you to put aside pre-tax money in an account and use the funds for parking as part of your daily commute to work, including parking at or near work, or at a location near where you take public transportation to get to work.",1
2134,What type of vehicle is valid for vanpooling?,"In order for vanpooling to be valid, the vehicle you use for travel must have a seating capacity of six or more, and at least 80 percent of the mileage on the vehicle must be used for vanpooling purposes.",1
2135,Understanding what type of vehicle is valid for vanpooling.,"In order for your vehicle to be valid for vanpooling, 80% of the mileage on it must be used for vanpooling, not regular driving! It also must have a seating capacity of six people or more.",1
2136,What happens to the balance on my commuter card?,"There are no ""use-it-or-lose-it"" restrictions. Your unused funds can roll over from month to month. But, if you leave the company, make sure you've used all the money in your commuter account as unused amounts are forfeited if you are no longer with your employer.",1
2137,Understanding unused commuter benefits funds.,Good news! Your unused commuter benefit funds roll over from month to month as long as you remain with the company.,1
2049,How can I check my time off balance?,You can check your time off balance by logging into Omega.,1
2138,How does my spouse receive my death benefit?,"To receive a death benefit, your beneficiary must file a claim with Beta and provide your death certificate as proof of your passing. Once the claim has been approved, Beta will provide a lump sum death benefit to your beneficiary.",1
2139,How do I place a claim for my dependent's life insurance benefit?,"To receive a death benefit, you must file a claim with Beta, and provide your spouse's death certificate as proof of passing. Once the claim has been approved, Beta will send you a lump sum death benefit.",1
2126,What is the maximum amount I can contribute toward transit and vanpooling commuter benefit expenses per month?,The maximum you can contribute to transit and vanpool each month is $255.,1
2129,What is the maximum amount I can contribute toward my parking commuter benefit expenses per month?,The maximum you can contribute to parking expenses each month is $255.,1
2106,What is a health care flexible spending account?,"A health care flexible spending account is a pre-tax benefit account used to pay for eligible medical, dental, and vision care expenses that aren't typically covered by your insurance plan. You can elect up to $2,550 in pre-tax dollars to pay for these expenses, saving you money in the process. It‰Ûªs a smart, simple way to save you money.",1
2140,How much vacation time off do I accrue?,"Vacation accrual begins on the first day of full-time or part-time employment.  If you are full-time, you'll accrue vacation at 5.0 hours per pay period for a total of 120 hours a year (the amount is prorated for part-time employees). The maximum amount of vacation that can be accrued is 200 hours.",1
2141,How much sick time off do I accrue?,"You are provided 5 days of sick leave per year, from January 1st to December 31st. Unused sick days expire on December 31st each year and do not roll over into the following year.",1
2142,How do I report sick time off?,"To report sick time, login to Omega and record your sick time.",1
2144,Who can I include on my benefits?,"Eligible dependents include your spouse, domestic partner or children (including domestic partner's children) under age 26.",1
2145,I'm a new hire. When am I eligible to enroll in benefits?,"Welcome to Acme! You're eligible for benefits upon your hire date. But don't delay! If you don't enroll within 30 days, you'll need to wait until the next Open Enrollment period (generally in November).",1
2152,What are some key features of the Alpha HSA plan? ,"The Alpha HSA plan is a high deductible plan with significantly lower premiums. It can be paired with an Health Spending Account to help pay for medical expenses. You can use in-network or out-of-network providers, but you'll save money staying in-network. In-network preventive care is covered at no cost!",1
2154,What are some key features of the Alpha HMO plan? ,"You'll need to choose a primary care physician, or PCP, with the Alpha HMO plan. Keep in mind you must use in-network providers with the Alpha HMO plan, except in the case of an emergency. Out-of-network care is not covered. In-network preventive care is covered at no cost!",1
2156,Am I eligible for an HSA? ,"To be eligible for an HSA, you must meet the following requirements:
1. You must be covered under an HSA-eligible HDHP. At Acme, this is the Alpha HSA Plan. 
2. You do not have any other health coverage that is not an HDHP or a traditional flexible spending account. 
3. You are not enrolled in Medicare
4. You cannot be claimed as a dependent on someone else's tax return. ",1
2157,What are some advantages of an HSA? ,"1. HSA accounts are triple-tax advantaged - money goes in tax free, accumulates tax free, and comes out federal tax free. CA, AL and NJ do tax contributions for state purposes only.
2. HSA's are portable! This means if you switch jobs or retire, the account goes with you. 
3. The funds in your account never expire. If you don't spend your balance in the calendar year, it will roll over to the next year.",1
2158,How do I enroll in an HSA? ,"If you're enrolling in the Alpha HSA plan for 2017, a Bank of America HSA account will be automatically generated for you. ",1
2159,How much can I contribute toward my HSA? ,"The IRS limits how much you can contribute each year toward your HSA. For 2017, individuals can contribute up to $3,400. Remember, this is the total that both you and Acme can contribute, so make sure you keep an eye on your personal contributions!",1
2161,How can I find an in-network dentist? ,You can find an in-network dentist by name or location by calling Beta Dental at 1.800.244.6224 or by visiting the website below. ,1
2162,How can I find an in-network Gamma (vision) doctor?,You can find an in-network Gamma vision doctor by calling 1-800-877-7195 or by visiting the Gamma website below. ,1
2163,"What types of dental services are considered Type A, or preventive, services?","Preventive dental services include cleanings, oral exams, and other maintenance type procedures.",1
2164,"What types of dental services are considered Type B, or basic, services?","Basic dental services include fillings, simple extractions, and other basic procedures. ",1
2165,"What types of dental services are considered Type C, or major, services?","Major dental services include crowns, bridges, dentures, and other major procedures. ",1
2166,"What types of dental services are considered Type D, or orthodontic, services?",Orthodontic services include services needed for braces.  These benefits are offered for both children and adults.,1
2167,Does my company provide me with Life Insurance and Accidental Death & Dismemberment (AD&D) benefits? ,"Yes! Acme provides all eligible employees with company-paid Life Insurance and AD&D insurance. You're provided with life insurance coverage and AD&D coverage at an amount of two (2) times your annual salary, up to a $500,000 maximum. ",1
2168,What is Accidental Death and Dismemberment insurance?,"Accidental Death & Dismemberment coverage, or AD&D, provides you or your beneficiaries with insurance benefits for death or losses resulting from an injury incurred as a result of a covered accident.",1
2169,"If I experience an accident covered under my AD&D benefit, how is my benefit determined?","The benefit paid to you or your loved ones is determined by the extent of the loss, such as the loss of limbs, sight or hearing, or loss of life.",1
2170,Are illnesses covered under Accidental Death and Dismemberment insurance?,"No, benefits are paid to you for certain accidental injuries, but illnesses or sudden physical ailments are not covered under this plan.",1
2171,Am I taxed for my company-paid life insurance? ,"Yes, the IRS stipulates that the value of any company-paid life insurance in excess of $50,000 is taxable to you. This is called imputed income, and is generally a very small amount. ",1
2043,How long will my short-term disability benefits last?,Your short-term disability benefits begin on the 8th day of approved disability and can last up to 12 weeks. ,1
2172,How much money would I receive if I needed to go on short-term disability?  ,"Your short-term disability insurance pays you the equivalent of 60% of your before-tax weekly earnings, up to $3,462 per week.",1
2173,How long will my long-term disability benefits last?,"Your long-term disability benefits begin on the 91st day of approved disability and can last up to age 65 for total disability, if the disability occurred prior to age 62.",1
2174,How much money would I receive if I needed to go on long-term disability?  ,"Your long-term disability insurance pays you the equivalent of 60% of your before-tax monthly earnings, up to $15,000 per month.",1
2175,How much voluntary life insurance can I elect for myself?,"You may choose increments of $10,000 up to five (5) times your annual earnings, or $500,000 whichever is less. No medical checks are required for amounts of up to $100,000. ",1
2176,How much voluntary life insurance can I elect for my family members? ,"You may purchase coverage for your spouse in increments of $5,000 up to $50,000, and you may purchase coverage for your children in increments of $2,000 up to $10,000. ",1
2177,How much voluntary accidental death and dismemberment insurance can I elect for myself?,"You may choose increments of $10,000 up to five (5) times your annual earnings, or $500,000 whichever is less. No medical checks are required for amounts of up to $100,000. ",1
2178,How much voluntary accidental death and dismemberment insurance can I elect for my family members? ,"You may purchase coverage for your spouse in increments of $5,000 up to $50,000, and you may purchase coverage for your children in increments of $2,000 up to $10,000. ",1
2179,How can I elect Commuter Benefits? ,"Visit Navia Benefits. To register, you'll need the following personal information: Last name and first initial, Email address, Date of birth, and the Company Code: ACME.",1
2180,What legal services are available to me? ,"Great news! You have access to legal services for a low cost. Services include: unlimited personal and business advice, legal document review and will preparation. ",1
2181,How do I enroll in legal services? ,"Enrollment can be completed in two parts. First, login to Omega and adjust your benefit enrollment to begin the payroll deductions. ",1
2182,What is an Employee Assistance Program? ,"An Employee Assistance Program, or EAP, is a work/life balance program that helps you lead a healthier, happier life at work and at home.",1
2183,What can I use an Employee Assistance Program for? ,"An Employee Assistance Program, or EAP, offers confidential personal assessment and referral services. An EAP can assist with helping you find elder care, legal consultation or work/life balance. You can call your EAP for concerns like family issues, parenting information, referrals to mental health professionals and financial tools.",1
2184,How can I contact my Employee Assistance Program (EAP)? ,"To speak with an Employee Assistance Program advisor, please call 1.800.538.3543",1
2185,How much can I save per year in my 401k plan? ,"You can save up to the IRS allowed maximum, $18,000 per year on a pre-tax basis. If you are age 50 or over, an additional $6,000 is eligible for catch-up contributions.",1
2186,What is the Insurance Specialties Employee Benefits Help Desk?,"The Insurance Specialties Employee Benefits Help Desk is available to you, your spouse and children. The Insurance Specialties Employee Benefits Help Desk will assist you with your benefits and claims-related questions confidentially.  ",1
2187,How do I contact the Insurance Specialties Employee Benefits Help Desk?,You can contact the Insurance Specialties Employee Benefits Help Desk by calling 1-415-666-6666 or by emailing helpdesk@insspecialties.com. ,1
2188,What is the Acme Fitness Schedule?,"Take charge of your health by attending fitness classes! 
Yoga: Wed./Fri.,  12p - 1p in the Courtyard. Instructor: Jessica. 
Boot Camp: Tues./Thurs., 5:30p in the Picnic Area. Instructor: Nathan.
Tai Chi: Tues./Thurs., 5:30p in the Courtyard. Instructor: Richard.",1
2190,Start Here! ,"Welcome to the Navera HR App for Acme! 
We have partnered with Navera to offer all Acme employees with a mobile employee app for company and HR-related information. You can:
- Search for personalized information immediately - anytime, anywhere.
- Access key information about your benefit plans, such as your medical plan group number and deductible, in seconds.
- Connect with the right contacts to help you answer your benefits questions. ",1
2191,What is a Travel Assistance benefit? ,"Acme provides you with travel assistance benefits at no cost to you! Travel Assistance is there to help you with 24/7 travel services if you are traveling 100+ miles away from home. You can use the benefit to locate medical help, theft services, or accident benefits.  ",1
2192,What can I use a Travel Assistance benefit for? ,"You can use your Travel Assistance benefits for help finding a doctor, monitoring treatment, or medical evacuation. Car and ID theft services are also available  If you have a covered accident which results in a physical loss while traveling 100+ miles away from home, you can receive up to $50,000 according to the loss (such as the loss of sight).",1
2193,How can I contact my Travel Assistance benefit? ,"You can call toll free 1-866-295-4890 from the US and Canada, or call collect 1-202-296-7482 from all other countries. ",1
2194,How close am I to meeting my medical deductible?,Log on to the Alpha Website to find out.,1
2195,How close am I to meeting my medical out-of-pocket maximum?,Log on to the Alpha Website to find out.,1
2196,How close am I to meeting my dental deductible?,Log on to the Beta Website to find out.,1
2197,How close am I to meeting my dental annual maximum?,Log on to the Beta Website to find out.,1
2198,How can I access the Acme Intranet?,Visit the company website to access the intranet.,1
2218,How can I search for a doctor in the Alpha network?,"Go to Alpha's website to access Alpha's directory of health professionals.
 
 1. Choose one of two ways to start your search
  åá Click on the type of provider you want to find (e.g. primary care physicians, pediatricians)
  åá Enter your zip code
  åá Click ‰ÛÏSearch‰Ûù
 OR
  åá Type your provider‰Ûªs name into the search box near the top
  åá Enter your zip code next to it
  åá Click ‰ÛÏSearch‰Ûù
 2. From the dropdown menu of networks, choose either Alpha Standard Plans -> HMO or Open Access Plans -> Managed Choiceå¨ POS
 3. Click ‰ÛÏContinue‰Ûù
 4. Review the list of providers
 5. You can also run these steps once with each network to check both of them
 6. Once you find a provider, Alpha recommends you call the provider to ensure they accept Alpha",1
2219,How can I search for a dentist in the Beta network?,"Go to Beta's website to access Beta 's directory of dentists.
 
 1. In the upper left-hand side of the screen, under ‰ÛÏFind a...‰Ûù click ‰ÛÏDentist‰Ûù
 2. Type in your zip code under ‰ÛÏSearch Location‰Ûù
 3. Under ‰ÛÏSelect a Plan,‰Ûù click ‰ÛÏPick,‰Ûù and under ‰ÛÏDental Plans,‰Ûù click ‰ÛÏBeta Dental PPO or EPO.‰Ûù
 4. Click ‰ÛÏChoose.‰Ûù Then:
 EITHER
  åá Click the triangle under ‰ÛÏA-Z‰Ûù
  åá Click on the type of provider you want (e.g. ‰ÛÏGeneral Dentist‰Ûù)
 OR
  åá Type in the name of your provider
  åá You will see a list of providers. Apply filters for distance, specialty, years in practice and language to narrow your search",1
2220,I think I need glasses or contacts. What should I do?,"First, select an in-network eye doctor from Gamma vision's directory. You can see an out-of-network eye doctor if you like, but you'll always save money staying in-network. Next, make an appointment with your eye doctor and provide them with your personal information (i.e. SS# and date of birth). There's no charge to you for a standard vision exam when you use an in-network Gamma doctor.",1
2221,How much will glasses cost me?,"If you select an in-network Gamma provider, your frames benefit provides you with a $150 allowance - which means Gamma will cover the $150 of the total cost of your frames. Standard lenses (single vision, lined bifocal, and lined trifocal) are covered at no charge to you. You can receive frames once every 24 months, and lenses once every 12 months. ",1
2222,How much will contact lenses cost me?,"If you select an in-network Gamma provider, your contact lens benefit provides you with a $130 allowance for conventional contact lenses - which means Gamma will cover the $130 of the total cost of your contact lenses. You can receive contact lenses once every 12 months.",1
2223,How much will an eye exam cost me?,"Great news! When you see an in-network vision provider, your standard eye exam is free.  You can receive an eye exam once every 12 months.",1
2224,How often can I get new glasses?,"When you use your vision insurance, you can receive frames once every 24 months, and lenses once every 12 months. (Note that lenses are in lieu of contact lenses.)",1
2225,How often can I get new contact lenses?,"When you use your vision insurance, you can receive contact lenses once every 12 months. (Note that contact lenses are in lieu of eyeglass lenses.)",1
2226,How often can I go to the optometrist for an eye exam?,"When you use your vision insurance, you can visit an in-network eye doctor for a standard eye exam at no cost to you once every 12 months. ",1
2227,Who is enrolled in my benefit plans?,"Log on to Omega's website to find out who is enrolled on your benefit plans.
 
Click the Benefits worklet on the homepage and click Benefits Elections under the View section.",1
2228,How much am I paying for my medical benefits?,"Log on to Omega's website.
 
Click the Benefits worklet on the homepage and click Benefits Elections under the View section. ",1
2229,How much am I paying for my benefits?,"Log on to Omega's website.
 
Click the Benefits worklet on the homepage and click Benefits Elections under the View section. ",1
2230,How do I find information within the App?,"You have two ways to find information quickly in the App. 
1. Tap the ""search"" icon and search for keywords or topics.
2. Tap the dashboard icon for information at-a-glance.",1
2231,I need an in-depth answer from an expert. What should I do?,"You're able to quickly connect to the experts for the help you need in multiple ways. Contact information for an expert is available
1. When you search for an answer to a question.
2. When you tap into the dashboard
3. When you navigate to the ""Experts"" list
",1
2232,What are some examples of topics I can search for?,"Some frequently-searched topics are: ""medical"", ""holiday"" or ""time off"".",1
2233,What are some key features of the Kappa HMO plan? ,"You'll need to choose a primary care physician, or PCP, with the Kappa HMO plan. Keep in mind you must use in-network providers with the Kappa HMO plan, except in the case of an emergency. Out-of-network care is not covered. In-network preventive care is covered at no cost!",1
2234,"What types of dental services are considered Type E, or TMJ, services?",TMJ benefits address problems with movements and pain in the jaw joints. ,1
2235,How close am I to meeting my medical out-of-pocket maximum?,Log on to the Kappa Website to find out.,1
2236,What is the name of my medical insurance carrier?,The name of your medical insurance carrier is Alpha. You can reach Alpha by calling 1.877.204.9186 or visit the website. ,1
2237,What is the name of my dental insurance carrier? ,The name of your dental insurance carrier is Beta. You can reach Beta by calling 800.244.6224 or visit the website.,1
2238,What is the name of my Life and AD&D insurance carrier?,The name of your Life and AD&D insurance carrier is Beta. You can reach Beta by calling 1.800.362.4462 or visit the website.,1
2239,What is the name of my disability carrier?,The name of your disability insurance carrier is Beta. You can reach Beta by calling 1.800.362.4462 or visit the website.,1
2240,How can I search for a doctor in the Kappa network?,"Visit Kappa's website to access Kappa's directory of health professionals.
 ",1
1006,What do I need to do before I meet with my manager for my performance review?,"Good question! In order to make the most of your review, think carefully about the goals and objectives assigned to you over the prior review period. Spend time completing each section of your self-review thoughtfully. You can read your prior review, and access your goals and objectives by logging into our performance management system. ",1
1007,How long will my one-on-one performance review session take? ,Your manager will schedule your performance review with you once you've completed your self-evaluation. Review sessions typically take one hour. ,1
1008,How are merit increases assessed? ,"Merit increases are assessed on individual performance, department performance, and organizational performance against the goals and objectives set for the year. You can assess your goals and objectives by logging into our performance management system.",1
1009,How can I refer a friend to work for our company?,Through the Employee Referral Program! You can earn up to $250 for each referral. ,1
1010,I'm interested in a new position. How can I apply internally? ,Thanks for considering internal job opportunities! Open positions are posted on the company website and sent via email.,1
1012,Where can I find a copy of the employee handbook?,Your company handbook is accessible to you 24/7. Visit company website to download a copy. ,1
1013,What is the company's business travel policy? ,The company business travel policy is available to you by visiting the company's website ,1
1014,Are employees able to work from home? ,"Employees are able to work from home occasionally as the business need allows. All employees working from home for any amount of time must have pre-approval from their manager. 
Please check with your manager if you have a work from home request. ",1
1015,What's our flexible work arrangement policy? ,"Flexibility may be requested to accommodate business needs, educational needs, dependent care, commuting, or other personal needs or responsibilites. All requests must be approved by your manager and your Human Resources Business Partner. ",1
1022,Does my company offer training classes?,"Yes, training classes are offered on a variety of topics. Check in with your manager to find your department's list of eligible training classes. You can also access the training calendar on the Training Portal. ",1
1023,Where can I see a schedule of on-site training classes?,You can access the training calendar on the Training Portal. Be sure to check with your manager to find the applicable classes for your department. ,1
1025,How do I sign up for on-site training?,You can sign up for on-site training on the Training Portal. ,1
1026,I'd like to register for a conference. What should I do? ,"Please submit an email request to your manager, describing the type of conference and applicability to your current role. Conference requests are subject to approval based on applicability and as business needs permit. ",1
1027,I found an off-site training class that I'd like to attend. What should I do? ,"Please submit an email request to your manager, describing the type of training class and applicability to your current role. Off-site training requests are subject to approval based on applicability and as business needs permit. ",1
1028,Does the company offer tuition assistance?,"Yes! Please view the complete Tuition Assistance Policy, including the application process.",1
1029,How do I obtain reimbursement for the off-site training classes I've attended?,"Complete a Business Expense Reimbursement form and attach all applicable receipts. Submit the form to your manager for approval. Once approved, your manager will route the form to Finance on your behalf. ",1
1030,What is our company mission statement?,Our business is dedicated to establishing the full range of our evolutionary growth from expansion through overcoming all obstacles. ,1
1031,What is our company vision statement?,To be the number one company in the world.,1
1032,What are our company values?,"Our core company values are: Integrity, Fairness, Learning, Partnership, Results, Balance, and Discipline.",1
1033,What is the 2017 Acme Holiday Schedule?,"New Year‰Ûªs Day - Monday, January 2 (Observed)
President‰Ûªs Day - Monday, February 20
Memorial Day - Monday, May 29
Independence Day - Tuesday, July 4
Labor Day - Monday, September 4
Thanksgiving Day - Thursday, November 23
Day after Thanksgiving - Friday, November 24
Christmas Day - Monday, December 25
New Year‰Ûªs Eve - Friday, December 29 (Observed)",1
1036,"In an emergency, where is our evacuation meeting point?","In the event of an emergency, the meeting point is Mission St. Park, around the block from headquarters.",1
1038,Where do I log my steps for our wellness challenge?,Good news! No need to log your steps. Simply open your FitBit app on your smartphone and your FitBit will automatically apply your daily steps to the Company Challenge. ,1
1142,How do I determine the right amount of life insurance coverage for me?,"Determining how much and what type of life insurance to buy may be one of the most important financial decisions you ever make. A financial advisor can help analyze your specific needs and help you make the choice that‰Ûªs right for you.
",1
1143,What is Term Life Insurance?,"Term life is an affordable choice that generally provides coverage for a set period of time. The premiums ‰ÛÒ or regular payments you make‰ÛÒ are the same throughout the specified time period. Term policies aren‰Ûªt savings vehicles and don‰Ûªt grow in value.
Visit Delta's website to learn ore about Delta's Term Life Insurance products.",1
1144,How does Delta's Critical Illness Insurance work?,"If you or a covered family member are diagnosed with a condition covered by the policy and meets the requirements, our critical illness insurance will pay a lump sum benefit. Benefits are paid at a percentage of the amount of coverage you have elected.
Visit Delta's website to learn more about Delta‰Ûªs Critical Illness Insurance product, and to see what the plan covers.",1
1145,What conditions are covered by Delta's Critical Illness policy?,"Covered conditions include: Heart attack, stroke, major organ failure, and kidney failure. 
Benefits are paid at a percentage of the amount of coverage you've elected. 
Contact Delta to learn more. ",1
